"","num","tv_sec","tv_usec","src","dst","protocol_name","size","header_len","total_len","ttl","flags","flag_bits","dscp","frag_ofs"
"62",62,1366841399,17169,"21.241.212.197","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"63",63,1366841399,476202,"55.53.190.191","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"64",64,1366841399,976997,"71.113.17.64","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"65",65,1366841400,446982,"120.130.138.152","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"66",66,1366841400,939379,"171.128.49.99","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"67",67,1366841401,182354,"128.237.255.81","199.59.148.147","TCP",54,5,40,64,2,"010",0,0
"68",68,1366841401,358970,"199.59.148.147","128.237.255.81","TCP",54,5,40,46,2,"010",0,0
"69",69,1366841401,359034,"128.237.255.81","199.59.148.147","TCP",54,5,40,64,2,"010",0,0
"70",70,1366841401,419742,"104.220.68.36","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"71",71,1366841401,899627,"241.210.41.46","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"72",72,1366841402,399682,"33.24.97.48","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"73",73,1366841402,906172,"115.99.66.210","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"74",74,1366841403,397100,"154.29.81.178","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"75",75,1366841403,869418,"69.232.82.51","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"76",76,1366841404,349622,"234.183.31.38","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"77",77,1366841404,639734,"173.194.74.189","128.237.255.81","TCP",108,5,94,49,0,"000",0,0
"78",78,1366841404,639793,"128.237.255.81","173.194.74.189","TCP",54,5,40,64,2,"010",0,0
"79",79,1366841404,639902,"173.194.74.189","128.237.255.81","TCP",87,5,73,49,0,"000",0,0
"80",80,1366841404,639922,"128.237.255.81","173.194.74.189","TCP",54,5,40,64,2,"010",0,0
"81",81,1366841404,649228,"128.237.255.81","173.194.74.189","TCP",1440,5,1426,64,2,"010",0,0
"82",82,1366841404,649292,"128.237.255.81","173.194.74.189","TCP",911,5,897,64,2,"010",0,0
"83",83,1366841404,764660,"173.194.74.189","128.237.255.81","TCP",54,5,40,49,0,"000",0,0
"84",84,1366841404,764917,"173.194.74.189","128.237.255.81","TCP",54,5,40,49,0,"000",0,0
"85",85,1366841404,829566,"102.146.88.253","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"86",86,1366841404,860282,"173.194.74.189","128.237.255.81","TCP",579,5,565,49,0,"000",0,0
"87",87,1366841404,860536,"173.194.74.189","128.237.255.81","TCP",108,5,94,49,0,"000",0,0
